incident_id,reported_at,cause,description,service_id,service_name,solution
INC-1001,2026-01-14,Некорректно проведены плановые работы по обновлению оборудования ФП Хадуп,После плановых работ нарушен тракт данных по оферте OF-3001 и в АПР Фронтбэк могли поступить некорректные данные для расчета кредитного потенциала.,CI94565765,ЧАП Заря,Проводится восстановление тракта данных и сверка контрольных наборов
INC-1002,2026-02-03,Повторное нарушение тракта данных после обновления оборудования,После очередного окна работ по оферте OF-3001 в АПР Фронтбэк были доставлены данные с отклонениями качества по части кредитных атрибутов.,CI94565765,ЧАП Заря,Исполняется корректировка регламента релизных работ и повторная поставка данных
INC-1003,2026-02-19,Нарушение поставки лимитных данных по контракту CT-4100,В Лимитный кабинет поступил неполный пакет данных для расчета лимитов выплат.,CI77889900,Шина лимитных данных,Запущен повторный прогон и контроль полноты пакета
INC-1004,2026-03-08,Сбой баннера на портале заявок,Наблюдалось некорректное отображение баннера без влияния на данные и решения.,CI55550000,Портал заявок,Перезапущен UI-компонент
INC-1005,2026-03-16,Упоминание оферты без идентификатора,В описании фигурирует оферта на поставку данных для Скоринг Онлайн но номер оферты не указан.,CI66778899,Скоринг Онлайн,Требуется уточнение владельца поставки данных
INC-1006,2026-04-02,Признаки деградации потока данных,Поток данных в Лимитный кабинет замедлился и часть атрибутов была загружена с опозданием.,CI22334455,Лимитный кабинет,Настроить дополнительный мониторинг загрузки
INC-1007,2026-04-11,Сбой поставки по оферте OF-3001 после релизного окна,В АПР Фронтбэк поступил пакет данных с неконсистентными кредитными атрибутами после релиза.,CI94565765,ЧАП Заря,Команда проводит повторную поставку и анализ причин
INC-1008,2026-04-19,Нарушение тракта данных по OF-3001,После регламентных работ данные для расчета кредитного потенциала пришли с искажениями и задержкой.,CI94565765,ЧАП Заря,Выполняется корректировка релизной процедуры
INC-1009,2026-05-05,Деградация качества кредитных атрибутов,АПР Фронтбэк использовал данные с признаками низкого качества при расчете кредитного потенциала.,CI12345667,АПР Фронтбэк,Проводится дополнительная сверка входных наборов
INC-1010,2026-05-14,Повторный инцидент по оферте OF-3001,По оферте OF-3001 повторно поступили данные с отклонением качества в кредитный процесс.,CI94565765,ЧАП Заря,Запущена корректировка расписания технологических работ
INC-1011,2026-06-03,Потеря части полей по оферте OF-3001,Часть полей кредитного досье не была корректно доставлена в АПР Фронтбэк.,CI94565765,ЧАП Заря,Восстановление набора данных и ретроспективная проверка
INC-1012,2026-06-10,Сбой поставки лимитных данных по контракту CT-4100,В Лимитный кабинет доставлен неполный набор атрибутов для расчета лимитов.,CI77889900,Шина лимитных данных,Повторная поставка и контроль полноты данных
INC-1013,2026-06-18,Задержка загрузки витрины лимитов,Лимитный кабинет получил данные с опозданием и мог рассчитать лимит на устаревших значениях.,CI22334455,Лимитный кабинет,Вводится усиленный мониторинг загрузки
INC-1014,2026-07-04,Деградация потока лимитных данных,Часть атрибутов для лимитов выплат загружалась фрагментарно и с опозданием.,CI22334455,Лимитный кабинет,Проверка SLA и автоматического восстановления
INC-1015,2026-07-13,Повторный сбой по контракту CT-4100,По контракту CT-4100 пакет лимитных данных пришел не полностью.,CI77889900,Шина лимитных данных,Команда восстанавливает пакет и усиливает контроль
INC-1016,2026-08-01,Нарушение поставки лимитных данных,Лимитный кабинет выполнил расчет на неполных данных из входящего пакета.,CI22334455,Лимитный кабинет,Проводится ручная верификация результатов расчета
INC-1017,2026-08-20,Оферта на поставку данных упомянута без номера,В кейсе по Скоринг Онлайн есть признаки проблем с поставкой данных но идентификатор оферты не указан.,CI66778899,Скоринг Онлайн,Нужна ручная идентификация маршрута данных
INC-1018,2026-09-02,Неопределенный маршрут оферты,В описании фигурирует оферта на поставку данных для скорингового процесса без явного номера.,CI66778899,Скоринг Онлайн,Требуется уточнение получателя и номера оферты
INC-1019,2026-09-17,Сбой печати уведомлений,Нарушена печать уведомлений без влияния на данные и решения по процессу.,CI55550001,Сервис уведомлений,Перезапуск сервиса печати
INC-1020,2026-10-05,Недоступность пользовательского дашборда,Пользовательский дашборд открывался с ошибкой без влияния на данные и расчеты.,CI55550002,Пользовательский дашборд,Перезапуск UI-компонента
